time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
5.5,3,6.5615,6.2801,2.0,20.0,10.0,2.0,1.4282,3.5489
5.6,1,10.0178,5.0084,2.0,20.0,10.0,2.0,0.0,3.5489
5.6,2,6.7404,2.3696,2.0,20.0,10.0,2.0,1.4283,3.5489
5.6,3,6.7404,6.3696,2.0,20.0,10.0,2.0,1.4283,3.5489
5.7,1,10.1967,5.0978,2.0,20.0,10.0,2.0,0.0,3.5489
5.7,2,6.9192,2.459,2.0,20.0,10.0,2.0,1.4283,3.5489
5.7,3,6.9192,6.459,2.0,20.0,10.0,2.0,1.4283,3.5489
5.8,1,10.3756,5.1873,2.0,20.0,10.0,2.0,0.0,3.5489
5.8,2,7.098,2.5484,2.0,20.0,10.0,2.0,1.4283,3.5489
5.8,3,7.098,6.5484,2.0,20.0,10.0,2.0,1.4283,3.5489
5.9,1,10.5544,5.2767,2.0,20.0,10.0,2.0,0.0,3.549
5.9,2,7.2769,2.6379,2.0,20.0,10.0,2.0,1.4284,3.549
5.9,3,7.2769,6.6379,2.0,20.0,10.0,2.0,1.4284,3.549
6.0,1,10.7333,5.3662,2.0,20.0,10.0,2.0,0.0,3.549
6.0,2,7.4558,2.7273,2.0,20.0,10.0,2.0,1.4284,3.549
6.0,3,7.4558,6.7273,2.0,20.0,10.0,2.0,1.4284,3.549
6.1,1,10.9122,5.4556,2.0,20.0,10.0,2.0,0.0,3.549
6.1,2,7.6346,2.8167,2.0,20.0,10.0,2.0,1.4284,3.549
6.1,3,7.6346,6.8167,2.0,20.0,10.0,2.0,1.4284,3.549
6.2,1,11.0911,5.5451,2.0,20.0,10.0,2.0,0.0,3.549
6.2,2,7.8135,2.9062,2.0,20.0,10.0,2.0,1.4284,3.549
6.2,3,7.8135,6.9062,2.0,20.0,10.0,2.0,1.4284,3.549
6.3,1,11.27,5.6345,2.0,20.0,10.0,2.0,0.0,3.549
6.3,2,7.9923,2.9956,2.0,20.0,10.0,2.0,1.4285,3.549
6.3,3,7.9923,6.9956,2.0,20.0,10.0,2.0,1.4285,3.549
6.4,1,11.4489,5.724,2.0,20.0,10.0,2.0,0.0,3.549
6.4,2,8.1712,3.0851,2.0,20.0,10.0,2.0,1.4285,3.549
6.4,3,8.1712,7.0851,2.0,20.0,10.0,2.0,1.4285,3.549
6.5,1,11.6277,5.8134,2.0,20.0,10.0,2.0,0.0,3.549
6.5,2,8.3501,3.1745,2.0,20.0,10.0,2.0,1.4285,3.549
6.5,3,8.3501,7.1745,2.0,20.0,10.0,2.0,1.4285,3.549
6.6,1,11.8066,5.9029,2.0,20.0,10.0,2.0,0.0,3.549
6.6,2,8.529,3.264,2.0,20.0,10.0,2.0,1.4285,3.549
6.6,3,8.529,7.264,2.0,20.0,10.0,2.0,1.4285,3.549
6.7,1,11.9855,5.9923,2.0,20.0,10.0,2.0,0.0,3.549
6.7,2,8.7078,3.3534,2.0,20.0,10.0,2.0,1.4285,3.549
6.7,3,8.7078,7.3534,2.0,20.0,10.0,2.0,1.4285,3.549
6.8,1,12.1644,6.0818,2.0,20.0,10.0,2.0,0.0,3.549
6.8,2,8.8867,3.4428,2.0,20.0,10.0,2.0,1.4285,3.549
6.8,3,8.8867,7.4428,2.0,20.0,10.0,2.0,1.4285,3.549
6.9,1,12.3433,6.1712,2.0,20.0,10.0,2.0,0.0,3.5491
6.9,2,9.0656,3.5323,2.0,20.0,10.0,2.0,1.4285,3.5491
6.9,3,9.0656,7.5323,2.0,20.0,10.0,2.0,1.4285,3.5491
7.0,1,12.5221,6.2607,2.0,20.0,10.0,2.0,0.0,3.5491
7.0,2,9.2445,3.6217,2.0,20.0,10.0,2.0,1.4285,3.5491
7.0,3,9.2445,7.6217,2.0,20.0,10.0,2.0,1.4285,3.5491
7.1,1,12.701,6.3501,2.0,20.0,10.0,2.0,0.0,3.5491
7.1,2,9.4233,3.7112,2.0,20.0,10.0,2.0,1.4285,3.5491
7.1,3,9.4233,7.7112,2.0,20.0,10.0,2.0,1.4285,3.5491
