time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
1.8,4,-1.992,-3.0151,2.0,20.0,10.0,2.0,1.3635,2.8899
1.8,5,-1.9921,5.0289,2.0,20.0,10.0,2.0,1.3442,2.8899
1.9,1,3.4021,1.6927,2.0,20.0,10.0,2.0,0.0,2.8901
1.9,2,0.2187,-0.888,2.0,20.0,10.0,2.0,1.3182,2.8901
1.9,3,0.2185,3.0688,2.0,20.0,10.0,2.0,1.3379,2.8901
1.9,4,-1.825,-2.9317,2.0,20.0,10.0,2.0,1.3768,2.8901
1.9,5,-1.8251,5.1125,2.0,20.0,10.0,2.0,1.3574,2.8901
2.0,1,3.5809,1.7822,2.0,20.0,10.0,2.0,0.0,2.8903
2.0,2,0.3875,-0.8036,2.0,20.0,10.0,2.0,1.3295,2.8903
2.0,3,0.3873,3.1531,2.0,20.0,10.0,2.0,1.3493,2.8903
2.0,4,-1.6563,-2.8473,2.0,20.0,10.0,2.0,1.3882,2.8903
2.0,5,-1.6564,5.1968,2.0,20.0,10.0,2.0,1.3688,2.8903
2.1,1,3.7598,1.8718,2.0,20.0,10.0,2.0,0.0,2.8904
2.1,2,0.5577,-0.7185,2.0,20.0,10.0,2.0,1.3392,2.8904
2.1,3,0.5575,3.238,2.0,20.0,10.0,2.0,1.359,2.8904
2.1,4,-1.4862,-2.7623,2.0,20.0,10.0,2.0,1.398,2.8904
2.1,5,-1.4863,5.2819,2.0,20.0,10.0,2.0,1.3786,2.8904
2.2,1,3.9386,1.9613,2.0,20.0,10.0,2.0,0.0,2.8905
2.2,2,0.7291,-0.6327,2.0,20.0,10.0,2.0,1.3475,2.8905
2.2,3,0.7289,3.3237,2.0,20.0,10.0,2.0,1.3674,2.8905
2.2,4,-1.3148,-2.6766,2.0,20.0,10.0,2.0,1.4064,2.8905
2.2,5,-1.3149,5.3676,2.0,20.0,10.0,2.0,1.387,2.8905
2.3,1,4.1175,2.0508,2.0,20.0,10.0,2.0,0.0,2.8906
2.3,2,0.9015,-0.5465,2.0,20.0,10.0,2.0,1.3547,2.8906
2.3,3,0.9014,3.4098,2.0,20.0,10.0,2.0,1.3747,2.8906
2.3,4,-1.1424,-2.5904,2.0,20.0,10.0,2.0,1.4137,2.8906
2.3,5,-1.1425,5.4538,2.0,20.0,10.0,2.0,1.3943,2.8906
2.4,1,4.2963,2.1403,2.0,20.0,10.0,2.0,0.0,2.8906
2.4,2,1.0748,-0.4598,2.0,20.0,10.0,2.0,1.3609,2.8906
2.4,3,1.0747,3.4965,2.0,20.0,10.0,2.0,1.3809,2.8906
2.4,4,-0.9692,-2.5037,2.0,20.0,10.0,2.0,1.4199,2.8906
2.4,5,-0.9692,5.5404,2.0,20.0,10.0,2.0,1.4005,2.8906
2.5,1,4.4752,2.2298,2.0,20.0,10.0,2.0,0.0,2.8907
2.5,2,1.2489,-0.3727,2.0,20.0,10.0,2.0,1.3663,2.8907
2.5,3,1.2489,3.5835,2.0,20.0,10.0,2.0,1.3862,2.8907
2.5,4,-0.7951,-2.4167,2.0,20.0,10.0,2.0,1.4253,2.8907
2.5,5,-0.7951,5.6275,2.0,20.0,10.0,2.0,1.4059,2.8907
2.6,1,4.654,2.3193,2.0,20.0,10.0,2.0,0.0,2.8907
2.6,2,1.4237,-0.2852,2.0,20.0,10.0,2.0,1.3708,2.8907
2.6,3,1.4236,3.6709,2.0,20.0,10.0,2.0,1.3908,2.8907
2.6,4,-0.6203,-2.3293,2.0,20.0,10.0,2.0,1.4299,2.8907
2.6,5,-0.6204,5.7149,2.0,20.0,10.0,2.0,1.4105,2.8907
2.7,1,4.832,2.4084,2.0,20.0,10.0,2.0,0.0,2.8907
2.7,2,1.599,-0.1975,2.0,20.0,10.0,2.0,1.3738,2.8907
2.7,3,1.599,3.7586,2.0,20.0,10.0,2.0,1.3938,2.8907
